freq,mag,db
62.3994,1.11139,0.917316
62.5994,1.12166,0.997197
62.7994,1.131,1.06929
62.9994,1.13611,1.10844
63.1994,1.13463,1.09711
63.3994,1.12844,1.04954
63.5994,1.12022,0.986077
63.7994,1.11204,0.922382
63.9994,1.10768,0.888273
64.1994,1.10981,0.904973
64.3994,1.11691,0.96037
64.5994,1.12662,1.03557
64.7994,1.13689,1.11435
64.9994,1.14373,1.16644
65.1994,1.14434,1.17113
65.3994,1.13999,1.13802
65.5994,1.13256,1.08119
65.7994,1.12401,1.01537
65.9994,1.11855,0.973088
66.1994,1.11916,0.977832
66.3994,1.12486,1.02198
66.5994,1.13394,1.09183
66.7994,1.14441,1.1716
66.9994,1.15199,1.22897
67.1994,1.15371,1.24193
67.3994,1.15044,1.21726
67.5994,1.14362,1.16564
67.7994,1.13517,1.10122
67.9994,1.12944,1.05726
68.1994,1.12952,1.05784
68.3994,1.13466,1.09729
68.5994,1.1434,1.16396
68.7994,1.15376,1.24228
68.9994,1.1614,1.29965
69.1994,1.16331,1.31391
69.3994,1.16027,1.29119
69.5994,1.15371,1.24191
69.7994,1.14556,1.18033
69.9994,1.14016,1.13931
70.1994,1.14058,1.14248
70.3994,1.14599,1.18363
70.5994,1.15477,1.24987
70.7994,1.16484,1.3253
70.9994,1.17198,1.3784
71.1994,1.17326,1.38787
71.3994,1.16968,1.36133
71.5993,1.16303,1.31185
71.7993,1.15539,1.25458
71.9993,1.1509,1.22079
72.1993,1.15246,1.23248
72.3993,1.15885,1.28057
72.5993,1.16789,1.34804
72.7993,1.17738,1.41832
72.9993,1.1834,1.46265
73.1993,1.18331,1.462
73.3993,1.1786,1.42733
73.5993,1.17178,1.37691
73.7993,1.16507,1.32704
73.9993,1.16218,1.30549
74.1993,1.16556,1.33072
74.3993,1.17339,1.38882
74.5993,1.1826,1.45673
74.7993,1.19091,1.51755
74.9993,1.19507,1.54787
75.1993,1.19302,1.53294
75.3993,1.18692,1.48845
75.5993,1.18023,1.43934
75.7993,1.17524,1.40255
75.9993,1.17476,1.39902
76.1993,1.18043,1.44081
76.3993,1.18966,1.50843
76.5993,1.19847,1.57256
76.7993,1.20466,1.61727
76.9993,1.20616,1.62811
77.1993,1.2019,1.59738
77.3993,1.19476,1.54565
77.5993,1.18904,1.50396
77.7993,1.18687,1.48807
77.9993,1.18954,1.50762
78.1993,1.19744,1.56506
78.3993,1.20732,1.63648
78.5993,1.21464,1.68897
78.7993,1.21758,1.70996
78.9993,1.21587,1.69775
79.1993,1.20983,1.65451
79.3993,1.20281,1.60392
79.5993,1.1994,1.57929
79.7993,1.20112,1.59174
79.9993,1.20719,1.63549
80.1993,1.21638,1.70137
80.3993,1.22534,1.76512
80.5993,1.22973,1.79619
80.7993,1.22861,1.78828
80.9993,1.22388,1.7548
81.1993,1.21748,1.70927
81.3993,1.21254,1.67393
81.5993,1.21289,1.67643
81.7993,1.21888,1.71924
81.9993,1.22751,1.78048
82.1993,1.23604,1.84068
82.3993,1.2419,1.88176
82.5993,1.24221,1.88388
82.7992,1.2373,1.84953
82.9992,1.23105,1.80553
83.1992,1.22666,1.77445
83.3992,1.22602,1.76993
83.5992,1.23081,1.80381
83.7992,1.23992,1.86786
83.9992,1.24886,1.93026
84.1992,1.25419,1.96725
84.3992,1.25509,1.9735
84.5992,1.25138,1.94778
84.7992,1.24476,1.90172
84.9992,1.23984,1.86728
85.1992,1.23994,1.86799
85.3992,1.24479,1.9019
85.5992,1.25293,1.95855
85.7992,1.26211,2.02193
85.9992,1.26816,2.0635
86.1992,1.26837,2.06494
86.3992,1.26424,2.03659
86.5992,1.25864,1.99806
86.7992,1.25405,1.9663
86.9992,1.25366,1.9636
87.1992,1.25923,2.0021
87.3992,1.2682,2.06374
87.5992,1.27646,2.12018
87.7992,1.28171,2.1558
87.9992,1.28234,2.16006
88.1992,1.27788,2.12981
88.3992,1.27157,2.0868
88.5992,1.26804,2.06263
88.7992,1.26914,2.07018
88.9992,1.27465,2.10784
89.1992,1.28353,2.16812
89.3992,1.29231,2.22734
89.5992,1.29661,2.25616
89.7992,1.29547,2.24856
89.9992,1.29105,2.21888
90.1992,1.28565,2.18248
90.3992,1.28231,2.15989
90.5992,1.2844,2.17404
90.7992,1.29179,2.22384
90.9992,1.30071,2.28364
91.1992,1.3079,2.33147
91.3992,1.31141,2.35475
91.5992,1.3097,2.34346
91.7992,1.30401,2.30563
91.9992,1.29891,2.27155
92.1992,1.29793,2.26499
92.3992,1.30155,2.28924
92.5992,1.30911,2.3395
92.7992,1.31841,2.401
92.9992,1.32503,2.44452
93.1992,1.32603,2.45105
93.3992,1.32264,2.42882
93.5992,1.31763,2.39584
93.7991,1.31355,2.36895
93.9991,1.31366,2.36964
94.1991,1.3196,2.40886
94.3991,1.32868,2.46841
94.5991,1.33658,2.51989
94.7991,1.34099,2.54849
94.9991,1.34083,2.54747
95.1991,1.33623,2.51761
95.3991,1.33063,2.48116
95.5991,1.32873,2.46876
95.7991,1.33202,2.49019
95.9991,1.33908,2.53616
96.1991,1.34793,2.59334
96.3991,1.35526,2.64043
96.5991,1.35737,2.65396
96.7991,1.35416,2.63339
96.9991,1.34915,2.6012
97.1991,1.3456,2.57831
97.3991,1.34567,2.57878
97.5991,1.35097,2.61291
97.7991,1.36014,2.67169
97.9991,1.36852,2.72501
98.1991,1.37254,2.75052
98.3991,1.37201,2.74713
98.5991,1.36801,2.72176
98.7991,1.36289,2.68922
98.9991,1.36094,2.67681
99.1991,1.36485,2.70173
99.3991,1.37282,2.75228
99.5991,1.38128,2.80566
99.7991,1.38762,2.84539
99.9991,1.38948,2.85707
100.199,1.38609,2.8358
100.399,1.38065,2.80169
100.599,1.37791,2.78443
100.799,1.37983,2.79652
100.999,1.38596,2.83501
101.199,1.39481,2.89031
101.399,1.40286,2.9403
101.599,1.40597,2.95953
101.799,1.40368,2.94533
101.999,1.39914,2.91723
102.199,1.39552,2.89475
102.399,1.39528,2.89324
102.599,1.40033,2.9246
102.799,1.4094,2.98071
102.999,1.41781,3.03236
103.199,1.42192,3.05753
